FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
10,DE,Delaware,state,2011,907884,58814,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
11,DC,District of Columbia,district,2011,620336,63124,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
12,FL,Florida,state,2011,19097369,44299,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
13,GA,Georgia,state,2011,9810595,46007,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
15,HI,Hawaii,state,2011,1378323,61821,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
16,ID,Idaho,state,2011,1583180,43341,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
17,IL,Illinois,state,2011,12862298,53234,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
18,IN,Indiana,state,2011,6515358,46438,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
19,IA,Iowa,state,2011,3063690,49427,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
20,KS,Kansas,state,2011,2868756,48964,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
21,KY,Kentucky,state,2011,4368505,41141,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
22,LA,Louisiana,state,2011,4574388,41734,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
23,ME,Maine,state,2011,1327968,46033,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
24,MD,Maryland,state,2011,5843115,70004,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
25,MA,Massachusetts,state,2011,6612178,62859,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
26,MI,Michigan,state,2011,9876199,45981,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
27,MN,Minnesota,state,2011,5345967,56954,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
28,MS,Mississippi,state,2011,2977452,36919,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
29,MO,Missouri,state,2011,6010280,45247,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
30,MT,Montana,state,2011,996866,44222,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
31,NE,Nebraska,state,2011,1841641,50296,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
